"Название поля, рус.","Название поля, англ.",Описание,Тип,Размерность,Обязательность,Первичный ключ,Естественный ключ,Главное адресное поле,Дата календарного события,Связанный набор,Таблица в связанном наборе
Порядковый номер,number,Порядковый номер,Целое число,,Да,Да,False,False,False,,
Идентификатор маршрута,route_id,Уникальный код маршрута,Строка,200,False,False,False,False,False,,
Числовой номер маршрута,route_short_name,Указывается числовой номер маршрута,Строка,500,False,False,False,False,False,,
Наименование маршрута,route_long_name,Указывается наименование маршрута,Строка,200,Да,False,Да,False,False,,
Тип транспорта,transport_type,Информация о типе транспорта,Строка,200,False,False,False,False,False,,
Направление движения,direction,"Информация, о направлении движения",Текст,200,False,False,False,False,False,,
ID остановки,stop_id,Идентификационный номер остановки,Текст,200,False,False,False,False,False,,
ID следующей остановки,next_stop,Идентификационный номер следующей остановки,Текст,200,False,False,False,False,False,,
"Расстояние до следующей остановки, км",stop_distance,Расстояние от текущей остановки до следующей,Дробное число,,False,False,False,False,False,,
Название остановки,stop_name,Название остановки,Текст,100,False,False,False,False,False,,
Координаты остановки,coordinates,Координаты остановки,Текст,500,Да,False,False,False,False,,
