Идентификатор маршрута,Маршрут,Количество остановок,Длина маршрута
3449,1,15,6.1000000000000005
1108,10,31,12.3
1128,100,24,10.65
1110,16,28,12.3
1113,20,36,17.5
1117,21,36,17.8
1114,23,35,16.8
1115,24,29,15.15
1116,25,29,14.4
1118,27,36,19.15
1119,29,19,9.2
9449,29В,14,6.1
3646,3,18,8.5
1121,30,11,5.65
1123,36,30,18.1
1124,38,17,10.35
4235,39,23,14.2
1122,40,42,19.65
1137,41,25,11.0
1132,43,26,13.25
1135,45,29,14.8
1120,47,15,6.3
1131,48,17,7.8
1133,49,27,13.6
1134,51,19,9.25
1136,52,21,12.0
1138,55,36,18.25
1139,56,10,4.6
1126,57,13,6.95
1142,58,20,10.9
1141,59,10,7.41
1105,6,27,12.05
1140,60,24,12.6
1143,61,23,12.0
1127,62,7,3.9
6687,63,7,6.2
1130,64,14,8.620000000000001
1129,65,25,12.6
1106,7,30,17.65
1109,8,7,4.83
1107,9,28,15.15
1125,А,18,9.35
